restaurant_name,address,price_level,parking_available,review_score,restaurant_type,num_ratings,price_low,price_high,price_mid,parking_free_street_parking,parking_free_parking_lot,parking_parking,parking_paid_street_parking,parking_paid_parking_lot,parking_on_site_parking,parking_valet_parking,parking_free_parking_garage,has_free_parking,city,state,zip
Sergio's Caffè,"109 Mill St, Grass Valley, CA 95945",$$,Free parking lot|Free street parking|Paid parking lot|Parking,4.4,italian restaurant,488,,,,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,Grass Valley,CA,95945
TNT on the Lake Bar & Grill,"2599 Lakeshore Blvd, Lakeport, CA 95453",$$,Free parking lot|Free street parking,4.1,parking lot,616,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Lakeport,CA,95453
Kazoku | Teriyaki & More,"5131 Foothills Blvd #1, Roseville, CA 95747",$10–20,Free parking lot|Free street parking|Parking,4.6,japanese restaurant,321,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Roseville,CA,95747
The Original Mels & The Cheese Steak Shop,"30003 Rd 8, Dunnigan, CA 95937",,,4.3,delivery restaurant,50,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dunnigan,CA,95937
Casa Colibri Design,,,,,interior designer,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,
Tacos El Cheko,"721 Beaumont Ave, Beaumont, CA 92223",$10–20,Free parking lot|Free street parking|Parking,4.4,mexican restaurant,139,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Beaumont,CA,92223
Bee Kind Bakery & Catering,"5853 Sacramento Ave, Dunsmuir, CA 96025",$1–10,Free parking lot|Free street parking,4.8,bakery,98,1,10,5.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Dunsmuir,CA,96025
Cuatro Palomas Taqueria,"1201 Spruce St, Alturas, CA 96101",$10–20,Free parking lot|Free street parking,5,mexican restaurant,5,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Brass Rail,"22590 US-395, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,4.4,bar & grill,337,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Antonio's Cucina Italiana,"220 S Main St, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,4.4,italian restaurant,391,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Arrowhead Golf Course & Restaurant,"1901 N Warner St, Alturas, CA 96101",,Free parking lot|Free street parking,4.6,american restaurant,52,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Avila’s Taqueria,"206 N Main St, Alturas, CA 96101",$10–20,Free parking lot|Free street parking,4.2,mexican restaurant,21,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Taqueria,"Alturas, CA 96101",$10–20,,5,mexican restaurant,6,10,20,15,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Alturas,CA,96101
Double-A Cafe,"311 S Main St, Alturas, CA 96101",$1–10,Free parking lot|Free street parking|Parking,5,restaurant,59,1,10,5.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Lazy B,"303 US-395, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,4.5,restaurant,242,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Subway,"100 W 12th St, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,3.7,sandwich shop,252,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Valero - Modoc Mini Mart,"123 W 12th St, Alturas, CA 96101",,Free parking lot|Free street parking,4.5,restaurant,38,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Nuch's Thai Food,"1001 N Main St, Alturas, CA 96101",$10–20,Free parking lot|Free street parking,4.2,thai restaurant,161,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Rubio's Taqueria,"658 N Main St, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,4.6,mexican restaurant,255,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Frosty's,"720 N Main St, Alturas, CA 96101",$10–20,Free parking lot|Parking,4.2,hamburger restaurant,358,10,20,15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Hoang Chinese Restaurant,"204 W 12th St Building #2 & #3, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,4.7,chinese restaurant,173,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
One Thai Oshi,"1001 N Main St, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,4,restaurant,21,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Auction Yard Café,"CA-299, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,4.7,american restaurant,258,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Wagon Wheel Restaurant,"308 W 12th St, Alturas, CA 96101",$10–20,Free parking lot|Free street parking|Parking,4.7,restaurant,164,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Alturas,CA,96101
Woody's,"415 Main St, Cedarville, CA 96104",$10–20,Free parking lot|Free street parking|Parking,4.6,restaurant,153,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cedarville,CA,96104
"Country Hearth Restaurant, Bakery & Gift Shop","551 Main St, Cedarville, CA 96104",$10–20,Free parking lot|Free street parking,4.4,restaurant,319,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Cedarville,CA,96104
Big Valley Market,"201 Bridge St, Bieber, CA 96009",$$,Free parking lot|Free street parking,4.5,restaurant,151,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Bieber,CA,96009
The Old Mill Grill,"499 Lassen State Hwy #201, Bieber, CA 96009",$10–20,Free parking lot|Free street parking|Parking,4.8,restaurant,221,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Bieber,CA,96009
Grazerz Grub and Pub at Fall River Hotel,"24860 Main St, Fall River Mills, CA 96028",$10–20,Free parking lot|Free street parking,4.8,restaurant,23,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fall River Mills,CA,96028
La Cocina Michoacana,"43143 CA-299, Fall River Mills, CA 96028",$10–20,Free parking lot|Free street parking|Parking,4.6,mexican restaurant,233,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fall River Mills,CA,96028
Uptown Pizza,"43131 Main St, Fall River Mills, CA 96028",$10–20,Free parking lot|Free street parking|Parking,4.7,pizza restaurant,174,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Fall River Mills,CA,96028
Blackberry Patch Restaurant,"37453 CA-299, Burney, CA 96013",$10–20,Free parking lot|Parking,4.1,diner,580,10,20,15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Subway,"37449 Main St Suite C, Burney, CA 96013",$10–20,Free parking lot|Free street parking,4.1,sandwich shop,160,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Burney Bowl,"37424 Main St, Burney, CA 96013",,,4.4,bowling alley,107,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Burney,CA,96013
Burrito way,"37300 Main St, Burney, CA 96013",$10–20,Free parking lot|Free street parking,3.9,mexican restaurant,20,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Dragon Palace,"37345 CA-299, Burney, CA 96013",$10–20,Free parking lot|Free street parking|Parking,4.1,chinese restaurant,274,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
The Rex Club,"37143 CA-299, Burney, CA 96013",$$,Free parking lot|Free street parking,4.1,seafood restaurant,158,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Mt Burney Coffee Co,"37155 CA-299, Burney, CA 96013",$1–10,Free parking lot|Free street parking,4.6,coffee shop,212,1,10,5.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Gepetto's Pizza,"37227 CA-299, Burney, CA 96013",$10–20,Free parking lot|Free street parking|Parking,3.9,pizza restaurant,460,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Alpine Drive Inn,"37148 CA-299, Burney, CA 96013",$10–20,Free parking lot|Free street parking|Parking,4.5,fast food restaurant,425,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Hovis Ace Hardware,"37113 CA-299, Burney, CA 96013",$$,,4.3,hardware store,92,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Burney,CA,96013
Julio's Grill,"37314 CA-299, Burney, CA 96013",$10–20,Free parking lot|Free street parking|Parking,4.2,mexican restaurant,317,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Krispy Krunchy Chicken,"37047 CA-299, Burney, CA 96013",$,Free parking lot|Free street parking,1,chicken restaurant,1,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Pit River Casino,"20265 Tamarack Ave, Burney, CA 96013",,,3.9,casino,697,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Burney,CA,96013
River Rock Bar & Grill,"20265 Park Ave, Burney, CA 96013",$10–20,Free parking lot|Free street parking|Parking,4.1,restaurant,168,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
The Outpost Steakhouse,"37392 Main St, Burney, CA 96013",$30–50,Free parking lot|Free street parking,4,restaurant,42,30,50,40,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
Mudslingers Espresso/Smoke Shop,"20246 Tamarack Ave, Burney, CA 96013",$1–10,Free parking lot|Free street parking,4.6,coffee shop,63,1,10,5.5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Burney,CA,96013
OLD STATION FILL UP Laundromat @ Showers and JJ’S Cafe,"13413 CA-44, Old Station, CA 96071",,Free parking lot|Free street parking,4.5,restaurant,210,,,,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Old Station,CA,96071
JJ's Cafe,"13385 CA-89 Scenic, Old Station, CA 96071",$10–20,Free parking lot|Parking,4.4,american restaurant,401,10,20,15,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Old Station,CA,96071
Lake Sis Grille & Brew,"4239 W A Barr Rd, Mt Shasta, CA 96067",$30–50,Free parking lot|Free street parking,4.2,american restaurant,11,30,50,40,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Mount Shasta Ranch Bed and Breakfast,"1008 W A Barr Rd, Mt Shasta, CA 96067",,,4.8,bed & breakfast,199,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mt Shasta,CA,96067
Burger King,"410 W Lake St, Mt Shasta, CA 96067",$1–10,Free parking lot|Free street parking|Parking,3.3,restaurant,418,1,10,5.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Black Bear Diner Mt. Shasta,"401 W Lake St, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.2,american restaurant,3541,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Mike & Tony's Restaurant,"501 S Mt Shasta Blvd, Mt Shasta, CA 96067",$20–30,Free parking lot|Free street parking|Parking,4.4,italian restaurant,485,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Alua's Thrive Bar,"315 Chestnut St, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.5,restaurant,201,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Cooper's Bar & Grill,"111 Morgan Way, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.2,bar & grill,349,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Subway,"150 Morgan Way, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,3.9,sandwich shop,197,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Gold Room Saloon,"903 S Mt Shasta Blvd, Mt Shasta, CA 96067",,Free parking lot|Free street parking|Parking,4.1,bar,173,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Lilys Restaurant,"1013 S Mt Shasta Blvd, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.3,californian restaurant,792,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Seven Suns Coffee & Cafe,"1011 S Mt Shasta Blvd, Mt Shasta, CA 96067",$10–20,Free street parking|Parking,4.4,restaurant,1106,10,20,15,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Casa Ramos Méxican Restaurant,"1136 S Mt Shasta Blvd, Mt Shasta, CA 96067",$20–30,Free parking lot|Free street parking|Parking,4.1,mexican restaurant,955,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Phuket Thai Café,"1328 S Mt Shasta Blvd, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.2,thai restaurant,460,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Highland House Restaurant,"1000 Siskiyou Lake Blvd, Mt Shasta, CA 96067",$20–30,Free parking lot|Free street parking|Parking,4.4,restaurant,180,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Вкусная еда,"401 W Lake St, Mt Shasta, CA 96067",,,,family restaurant,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mt Shasta,CA,96067
Josefina’s Taqueria (Taco Truck),"300 W Lake St, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking,3.6,mexican restaurant,12,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Poncho & Lefkowitz,"445 S Mt Shasta Blvd, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.3,mexican restaurant,157,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Bistro 107,"107 Chestnut St, Mt Shasta, CA 96067",$20–30,Free street parking|Parking,4.5,bistro,618,20,30,25,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Papa Murphy's | Take 'N' Bake Pizza,"432 N Mt Shasta Blvd, Mt Shasta, CA 96067",$,Free parking lot|Free street parking|Parking,4.3,pizza restaurant,219,,,,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Drizzle,"401 N Mt Shasta Blvd, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.7,american restaurant,2663,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Andaman | Healthy Thai Cuisine,"313 N Mt Shasta Blvd, Mt Shasta, CA 96067",$20–30,Free parking lot|Free street parking|Parking,4,thai restaurant,401,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Handsome John's Speakeasy,"316 Chestnut St #2213, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking,4.5,pub,194,10,20,15,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Hari Om Shri Ram | Indian Cuisine,"531 Chestnut St, Mt Shasta, CA 96067",$20–30,Free parking lot|Free street parking|Parking,4.6,modern indian restaurant,2397,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Starbucks,"301 W Lake St, Mt Shasta, CA 96067",$1–10,Free parking lot|Free street parking|Parking,3.7,coffee shop,173,1,10,5.5,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Alpenrose Cottage Guest House,"204 E Hinckley St, Mt Shasta, CA 96067",,,5,restaurant,1,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mt Shasta,CA,96067
Baldovinos Wine Bar and Kitchen,"418 N Mt Shasta Blvd, Mt Shasta, CA 96067",$30–50,Free street parking|Parking,4.7,restaurant,31,30,50,40,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Crave,"402 Chestnut St, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.6,restaurant,189,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Pizza Factory,"304 Maple St, Mt Shasta, CA 96067",,,,pizza restaurant,0,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Mt Shasta,CA,96067
Harvest,"1121 S Mt Shasta Blvd, Mt Shasta, CA 96067",,Free street parking|Parking,4.3,restaurant,85,,,,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Sparky’s Landing,"316 N Mt Shasta Blvd, Mt Shasta, CA 96067",$20–30,Free parking lot|Free street parking|Parking,4.4,restaurant,411,20,30,25,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
The Garden Tap,"1172 S Mt Shasta Blvd, Mt Shasta, CA 96067",$20–30,Free parking lot,4.5,restaurant,122,20,30,25,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Puerto Vallarta | Family Mexican Restaurant,"112 Morgan Way, Mt Shasta, CA 96067",$10–20,Free parking lot|Free street parking|Parking,4.1,mexican restaurant,301,10,20,15,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Pipeline Craft Taps & Kitchen,"320 N Mt Shasta Blvd, Mt Shasta, CA 96067",$20–30,Free parking lot|Free street parking,4.6,brewpub,777,20,30,25,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,Mt Shasta,CA,96067
Castle Crag Dome,"Castella, CA 96017",,,4.9,hiking area,30,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Castella,CA,96017
Jubilee Railroad Wilderness Lodge,"100 Railroad Park Rd, Dunsmuir, CA 96025",,,4.6,restaurant,1306,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dunsmuir,CA,96025
Manfredi's Food & Gas Depot,"6920 Dunsmuir Ave, Dunsmuir, CA 96025",,,4.5,gas station,54,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,Dunsmuir,CA,96025
